STABR,STNAME,ESTPOP
AL,Alabama,5073903
AK,Alaska,733276
AZ,Arizona,7365684
AR,Arkansas,3046404
CA,California,39040616
CO,Colorado,5841039
CT,Connecticut,3608706
DE,Delaware,1019459
DC,District of Columbia,670949
FL,Florida,22245521
GA,Georgia,10913150
HI,Hawaii,1439399
ID,Idaho,1938996
IL,Illinois,12582515
IN,Indiana,6832274
IA,Iowa,3199693
KS,Kansas,2936716
KY,Kentucky,4511563
LA,Louisiana,4588023
ME,Maine,1389338
MD,Maryland,6163981
MA,Massachusetts,6982740
MI,Michigan,10033281
MN,Minnesota,5714300
MS,Mississippi,2938928
MO,Missouri,6177168
MT,Montana,1122878
NE,Nebraska,1968060
NV,Nevada,3177421
NH,New Hampshire,1399003
NJ,New Jersey,9260817
NM,New Mexico,2113476
NY,New York,19673200
NC,North Carolina,10695965
ND,North Dakota,778912
OH,Ohio,11759697
OK,Oklahoma,4019271
OR,Oregon,4239379
PA,Pennsylvania,12972091
RI,Rhode Island,1093842
SC,South Carolina,5282955
SD,South Dakota,909869
TN,Tennessee,7048976
TX,Texas,30029848
UT,Utah,3381236
VT,Vermont,647110
VA,Virginia,8679099
WA,Washington,7784477
WV,West Virginia,1774035
WI,Wisconsin,5890543
WY,Wyoming,581629
